Ticket,Symbol,Type,Lots,"Open Time","Open Price","Close Time","Close Price",Swaps,Commission,Profit,Comment
13832789,,balance,,,,"2024-06-25 10:51:07",,,,"-6,887.83",W-449282-bankwire-49999CNY
13827112,,balance,,,,"2024-06-25 06:29:19",,,,"6,887.83",D-449110-H-jpay-50000-CNY
13803263,,balance,,,,"2024-06-24 09:53:44",,,,"-22,500.80",W-448470-bankwire-163370CNY
13783438,XAUUSD,sell,3.00000000,"2024-06-21 16:02:05",2359.61,"2024-06-21 16:22:59",2358.99,0,-150,186.00,"10001063 - #13783391"
13782979,XAUUSD,sell,3.00000000,"2024-06-21 15:46:02",2363.94,"2024-06-21 15:55:03",2361.54,0,-150,720.00,"10001063 - #13782944"
13778820,XAUUSD,sell,3.00000000,"2024-06-21 12:30:24",2364.39,"2024-06-21 12:47:36",2363.41,0,-150,294.00,"10001063 - #13778807"
13767935,XAUUSD,sell,3.00000000,"2024-06-21 05:33:27",2359.92,"2024-06-21 08:51:09",2365,0,-150,"-1,524.00","10001063 - #13767917[sl]"
13747401,XAUUSD,buy,3.00000000,"2024-06-20 13:14:59",2335.4,"2024-06-20 13:28:27",2337.28,0,-150,564.00,"10001063 - #13747400"
13742119,XAUUSD,sell,3.00000000,"2024-06-20 10:08:07",2342.75,"2024-06-20 10:48:23",2340.18,0,-150,771.00,"10001063 - #13742105"
13739251,XAUUSD,buy,0.30000000,"2024-06-20 08:36:03",2343.25,"2024-06-20 08:36:59",2343.93,0,-15,20.40,
13725581,XAUUSD,buy,3.00000000,"2024-06-19 16:20:51",2329,"2024-06-19 16:25:25",2331.12,0,-150,636.00,"10001063 - #13725577"
13711945,,balance,,,,"2024-06-19 05:29:58",,,,"-1,400.00",W-444660-bankwire-10158CNY
13691074,XAUUSD,buy,1.50000000,"2024-06-18 12:04:59",2312.77,"2024-06-18 15:30:07",2318.7,0,-75,889.50,"from #13686181"
13686181,XAUUSD,buy,1.50000000,"2024-06-18 12:04:59",2312.77,"2024-06-18 15:01:01",2313.29,0,-75,78.00,"to #13691074"
13675639,XAUUSD,buy,3.00000000,"2024-06-18 05:02:02",2322.32,"2024-06-18 05:41:08",2325.12,0,-150,840.00,"10001063 - #13675618"
13666838,XAUUSD,buy,0.50000000,"2024-06-17 18:44:47",2311.89,"2024-06-17 18:56:19",2312.74,0,-25,42.50,
13664336,XAUUSD,buy,1.29000000,"2024-06-17 16:27:09",2323.84,"2024-06-17 17:30:29",2325.8,0,-64.5,252.84,"from #13661957"
13661957,XAUUSD,buy,1.71000000,"2024-06-17 16:27:09",2323.84,"2024-06-17 17:29:42",2326.17,0,-85.5,398.43,"to #13664336"
13654460,XAUUSD,buy,2.15000000,"2024-06-17 10:02:31",2318.44,"2024-06-17 11:16:01",2320.26,0,-107.5,391.30,"from #13651997"
13651997,XAUUSD,buy,0.85000000,"2024-06-17 10:02:31",2318.44,"2024-06-17 11:15:50",2320.22,0,-42.5,151.30,"to #13654460"
13634598,XAUUSD,sell,1.50000000,"2024-06-14 15:52:54",2332.02,"2024-06-14 16:05:07",2329.73,0,-75,343.50,"from #13634352"
13634352,XAUUSD,sell,1.50000000,"2024-06-14 15:52:54",2332.02,"2024-06-14 16:00:35",2329.98,0,-75,306.00,"to #13634598"
13625067,XAUUSD,sell,1.00000000,"2024-06-14 11:11:03",2320.11,"2024-06-14 11:35:04",2318.02,0,-50,209.00,"from #13624131"
13624131,XAUUSD,sell,1.00000000,"2024-06-14 11:11:03",2320.11,"2024-06-14 11:33:53",2318.13,0,-50,198.00,"to #13625067"
13621126,XAUUSD,sell,1.00000000,"2024-06-14 10:00:12",2313.14,"2024-06-14 10:03:50",2312.92,0,-50,22.00,
13614001,,balance,,,,"2024-06-14 04:54:51",,,,"6,894.17",D-441663-H-jpay-50000-CNY
13598686,XAUUSD,buy,0.01000000,"2024-06-13 15:43:55",2317.78,"2024-06-13 15:47:06",2319.18,0,-0.5,1.40,
13597037,XAUUSD,buy,2.00000000,"2024-06-13 15:30:36",2318.7,"2024-06-13 15:36:23",2321.91,0,-100,642.00,"10001063 - #13596997"
13590784,XAUUSD,sell,2.00000000,"2024-06-13 10:52:31",2317.16,"2024-06-13 11:20:22",2315.41,0,-100,350.00,"10001063 - #13590760"
13584911,,balance,,,,"2024-06-13 05:27:07",,,,"6,893.04",D-440778-H-jpay-50000-CNY
13488895,XAUUSD,buy,0.01000000,"2024-06-07 11:14:48",2351.42,"2024-06-07 11:23:38",2356.67,0,-0.5,5.25,[tp]
13482750,XAUUSD,sell,0.01000000,"2024-06-07 06:54:17",2380.53,"2024-06-07 06:59:33",2380.43,0,-0.5,0.10,
13482704,XAUUSD,buy,0.01000000,"2024-06-07 06:51:44",2381.56,"2024-06-07 06:59:29",2379.93,0,-0.5,-1.63,
13482690,XAUUSD,sell,0.01000000,"2024-06-07 06:51:11",2381.52,"2024-06-07 06:59:24",2380.41,0,-0.5,1.11,
13482510,XAUUSD,sell,0.01000000,"2024-06-07 06:40:27",2378.81,"2024-06-07 06:59:21",2380.37,0,-0.5,-1.56,
13481741,,balance,,,,"2024-06-07 06:04:00",,,,"2,760.59",D-436235-H-jpay-20000-CNY
13463279,,balance,,,,"2024-06-06 14:24:28",,,,"2,759.56",D-435710-H-jpay-20000-CNY
